Test Case Name, Status, Time
Project Characterisitcs, PASSED, 2023-04-17 16:03:47,
Create Business Case, PASSED, 2023-04-17 16:14:03,
TC1616 CreateFinancialSummary, PASSED, 2023-04-17 16:23:22,
TC1617 CreateStageGate, PASSED, 2023-04-17 16:33:37,
Create Master Schedule, PASSED, 2023-04-17 16:42:57,
Create Stage gate Schedule, PASSED, 2023-04-17 16:49:52,
SC DRAM MTP Signal BOM Validation, PASSED, 2023-04-30 18:48:33,
Revised As New for SORDie, PASSED, 2023-05-08 20:16:26,
Printing Airway Bill, PASSED, 2023-05-23 19:12:09,
Printing Airway Bill, PASSED, 2023-05-23 19:13:54,
Printing Airway Bill, PASSED, 2023-05-23 19:15:25,
Printing Airway Bill, PASSED, 2023-05-24 07:24:46,
Printing Airway Bill, PASSED, 2023-05-24 08:03:30,
Printing Airway Bill, PASSED, 2023-05-24 08:07:46,
